ACCESSION	IRIS_ID	SUBPOPULATION	COUNTRY
AMISTAD 82::IRGC 116954-1	IRIS_313-10247	ind1B	Cuba
KARANGI::IRGC 77128-1	IRIS_313-11963	aus	India
SUFALDHULA::IRGC 46698-2	IRIS_313-11372	ind2	India
PALEPYU::IRGC 33549-1	IRIS_313-9285	indx	Myanmar
HANSRAJ::IRGC 70836-1	IRIS_313-11825	aro	India
CR 157-392-4::IRGC 39247-2	IRIS_313-11240	indx	India
B 6149 F-MR-7::IRGC 117314-1	IRIS_313-10337	indx	Indonesia
LUO AI ZAO 3::IRGC 63730-1	IRIS_313-11667	ind1A	China
D 3-130::IRGC 30986-2	IRIS_313-11105	trop	Liberia
KALIA::IRGC 34699-1	IRIS_313-9626	aus	Bangladesh
IAS 22-8 PALMAR::IRGC 26058-1	IRIS_313-10967	temp	Brazil
SKK::IRGC 54356-1	IRIS_313-11500	ind2	Indonesia
DHAN4	CX45	ind1B	
IARI 11387::IRGC 19573-1	IRIS_313-10834	subtrop	India
SAMBALA MALO::C1	IRIS_313-7770	ind1B	
BW311-9	CX238	ind1B	
PADI TIMBUN::IRGC 13451-1	IRIS_313-10688	ind3	Malaysia
ANGKARONG::IRGC 71493-1	IRIS_313-9050	trop	Malaysia
BANJIEMANG2	B230	japx	
PULUT NANGKA 16::IRGC 3630-2	IRIS_313-10480	indx	Indonesia
M 203::IRGC 76309-1	IRIS_313-8444	temp	United States of America
MUGUANUO	B086	admix	
KA GIL::IRGC 83029-1	IRIS_313-12080	ind3	Philippines
CEA 3::IRGC 116965-1	IRIS_313-10260	indx	Paraguay
T 3::IRGC 46760-2	IRIS_313-11373	aro	India
HO MOK::IRGC 73171-1	IRIS_313-11892	subtrop	Thailand
LEUANG TAWNG SOOK::IRGC 24394-1	IRIS_313-9286	ind3	Thailand
BR 116-3B-53::IRGC 39559-2	IRIS_313-11241	ind2	Bangladesh
HIRA NAKHI::IRGC 70840-1	IRIS_313-11826	aro	India
BR 5230-46-4::IRGC 117318-1	IRIS_313-10341	indx	Bangladesh
D 4-193::IRGC 31083-2	IRIS_313-11106	trop	Liberia
RONG DAO 4::IRGC 63820-1	IRIS_313-11668	ind1A	China
PODI HEENATI::IRGC 36345-1	IRIS_313-9636	aus	Sri Lanka
IH PEN SHIM MING::IRGC 26067-1	IRIS_313-10968	ind1A	Brazil
K 1074::IRGC 55017-1	IRIS_313-11505	ind2	India
PERUNEL 0-69-18::IRGC 19581-1	IRIS_313-10835	ind2	India
PUSA(BASMATI 1)	CX46	admix	
SALUMPIKIT::IRTP 4777-C1	IRIS_313-7769	indx	
SIKEP BATU::IRGC 13514-2	IRIS_313-10689	trop	Indonesia
TKM 9	CX24	indx	
SUKARADJA::IRGC 18936-1	IRIS_313-9242	admix	Indonesia
PILIT (7480) SELN (CI 12007)::IRGC 3758-1	IRIS_313-10484	ind1A	Philippines
XIANGAIZAO 10HAO	B232	ind1B	
M 102::IRGC 76307-1	IRIS_313-8502	temp	United States of America
DAMM NOEB THNGORN'::IRGC 87428-1	IRIS_313-12152	ind3	Cambodia
ZHONGNONG 4	B087	ind2	
CUYAMEL 3820::IRGC 116975-1	IRIS_313-10263	indx	Mexico
VUOTTA SAIL::IRGC 77306-1	IRIS_313-11964	ind2	Bangladesh
W 398::IRGC 46787-1	IRIS_313-11374	aus	India
SONAMUKHI::IRGC 46693-1	IRIS_313-9287	ind2	India
KARI GURMATIA::IRGC 70850-1	IRIS_313-11827	ind2	India
SI OMPAN LAMA::IRGC 35481-1	IRIS_313-11179	ind3	Indonesia
CSR-89 IR-15::IRGC 117326-1	IRIS_313-10348	indx	India
F 478::IRGC 63882-1	IRIS_313-11669	indx	China
ZANTON::IRGC 31248-1	IRIS_313-11107	trop	Liberia
LENJA MURALI::IRGC 66815-1	IRIS_313-9661	aus	Bangladesh
INDIA DULAR (NO ORDEM 7)::IRGC 26070-1	IRIS_313-10969	aus	Brazil
K 15591-4::IRGC 55043-1	IRIS_313-11506	indx	India
DIANGENG	CX47	temp	
VELLA PERUVAZHA 0-68-12::IRGC 19588-1	IRIS_313-10836	ind2	India
IR 19746-28-2-2::IRGC 78072-C1	IRIS_313-7685	ind1B	Philippines
CARIJO	CX240	indx	
LARONDJAWI::IRGC 13571-2	IRIS_313-10690	ind3	Indonesia
SAHULO FACHE SOYO::IRGC 66630-1	IRIS_313-9470	trop	Indonesia
XIANGWANXIAN 1	B233	indx	
CATIBOS::IRGC 3762-1	IRIS_313-10485	trop	Philippines
M 7::IRGC 34281-1	IRIS_313-8665	temp	United States of America
SAN**QISHILUO	B088	indx	
PA PHA EA::IRGC 87751-1	IRIS_313-12161	ind3	Cambodia
IA CUBA 17::IRGC 116990-1	IRIS_313-10271	indx	Cuba
CODE NO 31225::IRGC 46865-2	IRIS_313-11375	aro	India
GUANG XUAN LIU HAO::IRGC 77341-1	IRIS_313-11965	ind1A	China
GAM PAI 30-12-15::IRGC 831-1	IRIS_313-9302	ind3	Thailand
OR 117-8::IRGC 39680-2	IRIS_313-11242	ind2	India
LALI GURMATIA::IRGC 70854-1	IRIS_313-11828	ind2	India
CSR-90 IR-2::IRGC 117327-1	IRIS_313-10349	indx	India
B 12::IRGC 31293-1	IRIS_313-11108	ind3	Liberia
DERAWA::IRGC 64106-1	IRIS_313-11671	ind2	Nepal
HODARAWALA::IRGC 67631-1	IRIS_313-10020	aus	Sri Lanka
NANG SAU DO::IRGC 26243-1	IRIS_313-10970	ind3	Viet Nam
TV 30::IRGC 55221-1	IRIS_313-11507	ind1B	Viet Nam
BACK KYUNG ZO::IRGC 19698-2	IRIS_313-10837	temp	Korea, Republic of
PT60	CX48	indx	
WAS 21-B-B-20-4-3-3::C1	IRIS_313-7824	ind1B	
RANDAH SASAK::IRGC 13652-2	IRIS_313-10692	ind3	Indonesia
IAC47	CX241	trop	
PAMPANGON (H)::IRGC 60392-1	IRIS_313-9568	trop	Malaysia
MOROPOTOL::IRGC 3909-1	IRIS_313-10489	trop	Philippines
AITUOGU 151	B234	ind1A	
CALROSE 76::IRGC 34275-1	IRIS_313-8669	japx	United States of America
1146::IRGC 83068-1	IRIS_313-12081	ind3	Philippines
QITOUBAIGU3	B089	indx	
ICTA MOTAGUA::IRGC 116995-1	IRIS_313-10275	indx	Guatemala
QI GU::IRGC 77381-1	IRIS_313-11966	ind1A	China
TOS 7536::IRGC 46985-2	IRIS_313-11376	trop	Cote d'Ivoire
ARC 10799::IRGC 12631-1	IRIS_313-9313	indx	India
MUNJI::IRGC 70928-1	IRIS_313-11829	temp	Pakistan
RATNAGIRI 45-2::IRGC 39709-1	IRIS_313-11243	admix	India
CT 9737-6-1-1-2-2P-M::IRGC 117330-1	IRIS_313-10352	indx	Colombia
RAI MANULA::IRGC 64138-1	IRIS_313-11672	temp	Nepal
EA DAM HANG DOK::IRGC 29698-2	IRIS_313-11082	ind3	Lao People's Democratic Republic
KHAO DAWK MALI 105::IRGC 27748-2	IRIS_313-8253	ind3	Thailand
BADAL::IRGC 26290-2	IRIS_313-10971	ind2	Bangladesh
PAWNG AEW 1::IRGC 55263-1	IRIS_313-11508	ind3	Thailand
NAN-29-2	CX49	temp	
SSAL BYEO::IRGC 19867-2	IRIS_313-10838	temp	Korea, Republic of
BOTOHAVANA 139::GERVEX 8237-C1	IRIS_313-7650	ind2	
IR47686-4-4-B-1	CX242	admix	
SEREH::IRGC 13732-2	IRIS_313-10693	trop	Indonesia
GOBYERNO::IRGC 47216-1	IRIS_313-9929	trop	Philippines
ZHONGHUA 8	B235	temp	
TP MIL 53::IRGC 326-2	IRIS_313-10433	indx	Philippines
NORIN 6::IRGC 2633-1	IRIS_313-8755	temp	Japan
ZIMI	B090	indx	
PA YANG NOEUGN::IRGC 87778-1	IRIS_313-12164	japx	Cambodia
JUMA 62::IRGC 117011-1	IRIS_313-10279	indx	Dominican Republic
AMARILLO::IRGC 47120-1	IRIS_313-11377	indx	Philippines
TANG DU GU::IRGC 77400-1	IRIS_313-11967	indx	China
VEN THAP::IRGC 56138-1	IRIS_313-9317	indx	Viet Nam
W 1014-162::IRGC 39871-1	IRIS_313-11244	indx	India
KANDEKE YAIGAITI::IRGC 70961-1	IRIS_313-11830	ind3	Gambia
IRGA 318-11-6-9-2B::IRGC 117339-1	IRIS_313-10397	ind1B	Colombia
B 106::IRGC 31352-1	IRIS_313-11109	trop	Liberia
BURI BURING::IRGC 64174-1	IRIS_313-11673	trop	Philippines
CHUA DAU::IRGC 4785-1	IRIS_313-9555	indx	China
DUDA MONOR::IRGC 26335-2	IRIS_313-10972	ind2	Bangladesh
MARANHAO BRANCO::IRGC 50503-1	IRIS_313-11428	trop	Brazil
TAE GU NA::IRGC 19875-2	IRIS_313-10839	temp	Korea, Republic of
108S	CX5	indx	
WAS 198-B-3-1-3::C1	IRIS_313-7815	ind1B	
HAJI HARUN 38::IRGC 13827-2	IRIS_313-10694	ind3	Malaysia
IR47686-6-2-1-1	CX243	trop	
MANONGAZATO::IRGC 77876-1	IRIS_313-10099	trop	Madagascar
CE IN TSAN::IRGC 4362-1	IRIS_313-10497	ind1A	China
JINDAO 1	B236	temp	
S 201::IRGC 55230-1	IRIS_313-8856	temp	United States of America
JHINUWA DHAN::IRGC 88545-1	IRIS_313-12180	indx	Nepal
XIAOHONGGU	B091	indx	
ECIA 24-107-1::IRGC 116978-1	IRIS_313-10293	ind1B	Cuba
ZHAO DAN AI::IRGC 77422-1	IRIS_313-11968	ind1A	China
CADIDIT (GLUT)::IRGC 47161-1	IRIS_313-11379	trop	Philippines
SIPULUT HITAM PENDEK::IRGC 20154-1	IRIS_313-9320	ind3	Indonesia
DA GU AI 7::IRGC 70075-1	IRIS_313-11795	ind1A	China
RP 20-12::IRGC 40031-2	IRIS_313-11245	indx	India
IRGA 346-111-2-1F::IRGC 117341-1	IRIS_313-10399	indx	Colombia
BEUA KAE::IRGC 64221-1	IRIS_313-11674	ind3	Thailand
SAYAM::IRGC 31538-2	IRIS_313-11110	ind2	Sri Lanka
SOM NGHE AN::IRGC 60751-1	IRIS_313-8409	indx	Viet Nam
DAMNOEUB THPOIL HING::IRGC 22856-2	IRIS_313-10901	ind3	Cambodia
PRADOO DAENG::IRGC 55265-1	IRIS_313-11509	ind3	Thailand
AI ZI DAO	CX50	ind1B	
PUAK::IRGC 18512-1	IRIS_313-10804	ind3	Indonesia
SOM CAU 70 A::IRGC 8227-C1	IRIS_313-7778	indx	
IRAT144	CX247	indx	
TOLIL 14::IRGC 13836-2	IRIS_313-10695	ind3	Malaysia
BOCAO::IRGC 50384-1	IRIS_313-8431	trop	Philippines
MOMI	B238	indx	
TON ROO SHUN::IRGC 4572-1	IRIS_313-10502	ind1A	China
KOTOBUKI MOCHI	IRIS_313-9002	temp	Japan
GONGJU 73	B092	ind1A	
NYAULI::IRGC 88628-1	IRIS_313-12182	indx	Nepal
IR 21015-72-3-3-3-1::IRGC 117004-1	IRIS_313-10294	indx	Philippines
CA ONG (WHITE)::IRGC 47174-1	IRIS_313-11380	trop	Philippines
SHYAMJIRA::IRGC 77522-1	IRIS_313-11969	ind2	India
CHIH SHEN LI::IRGC 1306-1	IRIS_313-9324	ind1A	China
7516-14::IRGC 40090-3	IRIS_313-11246	temp	Japan
KHAO' DAENG HAWM::IRGC 71001-1	IRIS_313-11831	subtrop	Thailand
IRGA 659-1-2-2-2::IRGC 117345-1	IRIS_313-10403	indx	Colombia
SAITA::IRGC 31618-1	IRIS_313-11111	aus	Bangladesh
E MOOM::IRGC 64291-1	IRIS_313-11676	ind3	Thailand
NCS 964 C::IRGC 62604-1	IRIS_313-9400	indx	India
KALA DIGHA::IRGC 26367-2	IRIS_313-10973	ind2	Bangladesh
A 69-1::IRGC 55305-1	IRIS_313-11510	indx	Sri Lanka
YE ZO::IRGC 19888-1	IRIS_313-10840	temp	Korea, Republic of
BABAOMI	CX51	indx	
TSIPALA 1231::GERVEX 8418-C1	IRIS_313-7792	indx	
SIAM ER 16::IRGC 13910-2	IRIS_313-10697	ind3	Malaysia
KINANDANGPATONG	CX248	trop	
DAM::IRGC 23710-1	IRIS_313-8580	subtrop	Thailand
HA GOO::IRGC 4577-1	IRIS_313-10503	ind1A	China
ZHENDAO 232	B239	ind1A	
EAN 4 C 1::IRGC 26016-1	IRIS_313-9193	japx	Brazil
SETYA::IRGC 88654-1	IRIS_313-12183	aus	Nepal
QITOUGU	B093	ind1A	
PDR 34-2-1-2::IRGC 117020-1	IRIS_313-10295	admix	Pakistan
BUNTU DOMBA 1::IRGC 77554-1	IRIS_313-11970	trop	Indonesia
LINANGAN::IRGC 47255-2	IRIS_313-11381	ind3	Philippines
SADA RUPA::IRGC 77299-1	IRIS_313-9325	ind1B	Bangladesh
AE WAWNG POO DOO::IRGC 71007-1	IRIS_313-11832	subtrop	Thailand
RP 1153-20-14::IRGC 40131-2	IRIS_313-11247	indx	India
K 479-2-3::IRGC 117346-1	IRIS_313-10404	indx	India
E NAWN KHAO::IRGC 64293-1	IRIS_313-11677	ind3	Thailand
HIJOL DIGA::IRGC 31655-1	IRIS_313-11112	aus	Bangladesh
O. SATIVA::IRGC 17083-1	IRIS_313-9882	indx	Taiwan
KAMRANGA::IRGC 26373-2	IRIS_313-10974	ind2	Bangladesh
WAGASAN (RED)::IRGC 55404-1	IRIS_313-11511	trop	Philippines
DIANDUN 502	CX52	indx	
KETAN NANGKA::IRGC 19961-2	IRIS_313-10841	trop	Indonesia
WAS 206-B-B-2-2-1::C1	IRIS_313-7820	ind1B	
2004	CX249	ind1B	
RADIN GOI::IRGC 13969-1	IRIS_313-10698	ind3	Malaysia
BALINGMI::IRGC 62156-1	IRIS_313-8637	subtrop	Bhutan
ZHENGDAO 5	B240	temp	
HSIEH DAU::IRGC 4727-1	IRIS_313-10504	ind1A	China
HOKUSETSU::IRGC 65705-1	IRIS_313-9228	temp	Japan
ZINUO	B094	ind1A	
AE NOUA::IRGC 89308-1	IRIS_313-12185	indx	Lao People's Democratic Republic
IRGA 959-1-2-2F-4-1-4A-6-CA-6X::IRGC 117006-1	IRIS_313-10301	indx	Brazil
HONDERAWALA::IRGC 47372-1	IRIS_313-11382	indx	Sri Lanka
PARE LAMBAN BINGKA::IRGC 77601-1	IRIS_313-11971	trop	Indonesia
ARC 13778::IRGC 41216-1	IRIS_313-9347	indx	India
NIAW KHAMIN::IRGC 40222-1	IRIS_313-11248	trop	Thailand
BOO MAE::IRGC 71058-1	IRIS_313-11833	ind3	Thailand
RR 272-17-829::IRGC 117354-1	IRIS_313-10412	indx	Indonesia
KAL SHULI::IRGC 31665-2	IRIS_313-11113	ind2	Bangladesh
E PLUAK::IRGC 64297-1	IRIS_313-11678	ind3	Thailand
PUTTU NELLU::IRGC 55346-1	IRIS_313-9969	indx	Sri Lanka
KOLA MUCHI::IRGC 26384-2	IRIS_313-10975	ind2	Bangladesh
OYAK PAKANG::IRGC 55422-1	IRIS_313-11512	indx	Philippines
LUBUK LINGGAU::IRGC 20000-2	IRIS_313-10842	ind3	Indonesia
JIANGXISIMIAO	CX53	indx	
B 6144-MR-6-0-0::C1	IRIS_313-7641	indx	
BUJANG::IRGC 14040-1	IRIS_313-10699	ind3	Malaysia
CISANGGARUNG	CX25	ind1B	
KEREN FENHO::IRGC 56735-1	IRIS_313-8687	trop	Guinea-Bissau
PARN A 191::IRGC 4932-1	IRIS_313-10506	ind3	Thailand
LAMUJIA	B241	subtrop	
CHUNG YI::IRGC 1427-1	IRIS_313-9233	temp	China
BAO DAM::IRGC 89352-1	IRIS_313-12186	indx	Lao People's Democratic Republic
MOWANGGUNEIZA	B095	indx	
INIAP 6::IRGC 117002-1	IRIS_313-10307	indx	Ecuador
NOINJO::IRGC 77669-1	IRIS_313-11973	temp	Korea, Republic of
CHIEM NGAN::IRGC 47488-1	IRIS_313-11383	indx	Viet Nam
BK 26::IRGC 45197-1	IRIS_313-9348	ind2	India
BUENG MONG LENG WE::IRGC 71088-1	IRIS_313-11834	subtrop	Thailand
IR 4535-PP 23-6-8-1::IRGC 40402-2	IRIS_313-11249	indx	Philippines
UPR 1201-1-20-1::IRGC 117357-1	IRIS_313-10417	ind1B	India
GASET BOW::IRGC 64316-1	IRIS_313-11679	ind3	Thailand
BIRUI SAIL::IRGC 31745-2	IRIS_313-11114	ind2	Bangladesh
68-2::IRGC 14546-1	IRIS_313-8399	temp	France
LAKHSMI DIGHA::IRGC 26390-2	IRIS_313-10976	aus	Bangladesh
CHATO::IRGC 55825-1	IRIS_313-11513	ind1B	Ecuador
TONGNIAN 1	CX534	temp	
INDO NO 7505::IRGC 20162-2	IRIS_313-10844	ind3	Indonesia
UPL RI 7::IRTP 9897-C1	IRIS_313-7797	indx	
829	CX250	ind1B	
CHANTEK 145::IRGC 14045-1	IRIS_313-10700	ind3	Malaysia
LOHAMBITRO::IRGC 69857-1	IRIS_313-9742	trop	Madagascar
GUI 630	B242	indx	
HSIANG TSENF TAO::IRGC 5008-1	IRIS_313-10507	trop	Taiwan
HWANGJO::IRGC 55547-1	IRIS_313-9379	temp	Korea, Republic of
JINZHINUO4	B096	indx	
CHAM LEK::IRGC 89387-1	IRIS_313-12187	indx	Lao People's Democratic Republic
INIAP 10::IRGC 117000-1	IRIS_313-10314	indx	Ecuador
CHIEM TONG NHAT 1::IRGC 47496-1	IRIS_313-11384	indx	Viet Nam
NKUMBAN NDINGO::IRGC 77718-1	IRIS_313-11974	ind3	Liberia
HAM 48::IRGC 29740-1	IRIS_313-9357	ind3	Thailand
IR 9560-2-6-3::IRGC 40451-1	IRIS_313-11250	ind1B	Philippines
E NOI NAH::IRGC 71138-1	IRIS_313-11835	indx	Thailand
BAT DO::IRGC 7014-1	IRIS_313-8341	indx	Viet Nam
KALA MUNA::IRGC 31832-2	IRIS_313-11115	ind2	Bangladesh
KHAO BUN MI::IRGC 64366-2	IRIS_313-11680	ind3	Thailand
WIR 1072::IRGC 57496-1	IRIS_313-8890	temp	Belgium
MATI CHAL::IRGC 26399-2	IRIS_313-10977	ind2	Bangladesh
XINTUAN HEI GU::IRGC 56159-1	IRIS_313-11522	japx	China
ARC 5756::IRGC 20220-2	IRIS_313-10845	aus	India
LINYITANGDAO	CX54	indx	
SAHEL 108::C1	IRIS_313-7766	ind1B	
RADIN EBOS 35::IRGC 14204-1	IRIS_313-10701	ind3	Malaysia
XUDAO 4	CX251	temp	
CAROLINO BLANCO::IRGC 117249-1	IRIS_313-10327	trop	
AMBARIKORI::IRGC 5132-1	IRIS_313-10509	ind3	Africa
HUHUI 91269	B243	aus	
CI 9498::IRGC 2134-1	IRIS_313-9410	temp	United States of America
CHAO DO::IRGC 89430-1	IRIS_313-12188	ind3	Lao People's Democratic Republic
JIIENUO	B097	indx	
CAMPONI::IRGC 116963-1	IRIS_313-10325	indx	Surinam
KHAU DANH::IRGC 73201-1	IRIS_313-11893	indx	Viet Nam
IR 9747 SEL::IRGC 47695-1	IRIS_313-11385	indx	Philippines
WI BIR SHUN::IRGC 4602-1	IRIS_313-9372	ind1A	China
KHAO KO RAOH::IRGC 71208-1	IRIS_313-11836	ind3	Thailand
IR 4500-5-1-1::IRGC 40552-2	IRIS_313-11251	ind1B	Philippines
SURMATIYA::IRGC 74779-1	IRIS_313-8303	ind2	India
KHAO' PAWM::IRGC 64416-2	IRIS_313-11681	ind3	Thailand
KORTIK KAIKA::IRGC 31841-1	IRIS_313-11116	aus	Bangladesh
SHINCHIKU IKU 103::IRGC 10430-1	IRIS_313-9346	temp	Taiwan
PANI TORONG::IRGC 26411-1	IRIS_313-10978	indx	Bangladesh
ADIALLO::IRGC 56264-1	IRIS_313-11523	indx	Senegal
RR2-6	CX542	indx	
ARC 6015::IRGC 20314-2	IRIS_313-10847	indx	India
BETSILAIZINA::GERVEX 8405-C1	IRIS_313-7646	admix	
AMOL3(SANA)	CX26	ind1B	
JAROM EMAS::IRGC 14272-1	IRIS_313-10702	ind3	Malaysia
SALVO::GERVEX 1672-C1	IRIS_313-8205	japx	
XIANGDAO	B244	ind1A	
MAGSIING::IRGC 5211-1	IRIS_313-10510	indx	Philippines
CI 1600::IRGC 16305-1	IRIS_313-9463	temp	United States of America
HONGKEZHENUO	B100	temp	
CHAO KHAW NYAO::IRGC 89460-1	IRIS_313-12190	indx	Lao People's Democratic Republic
B 6144-MR-6-0-0::IRGC 117371-1	IRIS_313-10336	trop	Lao People's Democratic Republic
KHAO DAWK MALI TIA::IRGC 47773-2	IRIS_313-11386	ind3	Thailand
PA LOSSES 3::IRGC 77810-1	IRIS_313-11975	ind3	Sierra Leone
BARIK KUDI::IRGC 52807-1	IRIS_313-9384	ind2	India
SIPULUIK ARANG::IRGC 35488-2	IRIS_313-11180	ind3	Indonesia
KHAO NAHNG PRUNG::IRGC 71220-1	IRIS_313-11837	ind3	Thailand
BEUREUM MEULIT::IRGC 35563-1	IRIS_313-8314	trop	Indonesia
KAYELI KUNING::IRGC 31974-1	IRIS_313-11117	trop	Indonesia
MA EUE::IRGC 64502-1	IRIS_313-11682	ind3	Thailand
AMARELO::IRGC 9389-1	IRIS_313-9814	temp	Hungary
BORA DIGA::IRGC 26439-1	IRIS_313-10979	aus	Bangladesh
KOUINONEPOU::IRGC 56663-1	IRIS_313-11524	trop	Cote d'Ivoire
ARC 6188::IRGC 20370-1	IRIS_313-10848	subtrop	India
ZHONGJIAN 100	CX548	indx	
ROJOKELY::GERVEX 8410-C1	IRIS_313-7758	ind2	
PADI ADONG DUMARAT::IRGC 14356-1	IRIS_313-10703	trop	Malaysia
IAC3	CX262	trop	
S 102/2::GERVEX 1251-C1	IRIS_313-8134	temp	
MACAN SAPAC::IRGC 5212-2	IRIS_313-10511	ind3	Philippines
SHANJIUGU	B245	subtrop	
NONG KE::IRGC 59807-1	IRIS_313-9468	temp	China
DO NOUAN::IRGC 89648-1	IRIS_313-12193	ind3	Lao People's Democratic Republic
YANGKENUO	B101	temp	
HP 3319-2WX-6-4-1-B::IRGC 117331-1	IRIS_313-10353	indx	Korea, Republic of
PA MATIS::IRGC 77811-1	IRIS_313-11976	ind3	Sierra Leone
SAHM RUANG NAK::IRGC 47818-1	IRIS_313-11387	ind3	Thailand
KALABAIL::IRGC 25877-1	IRIS_313-9391	ind2	Bangladesh
LEUM DERN::IRGC 71288-1	IRIS_313-11838	ind3	Thailand
ADR 52::IRGC 40638-2	IRIS_313-11252	indx	India
LATA MONA::IRGC 49333-1	IRIS_313-8349	ind2	Bangladesh
NIAW KHIAW NGOO::IRGC 64563-1	IRIS_313-11683	ind3	Thailand
SOC NAU (BIEN THE)::IRGC 32074-1	IRIS_313-11118	ind3	Viet Nam
POENOET HITAM::IRGC 8193-1	IRIS_313-8324	admix	Indonesia
DUDHSAR::IRGC 26458-1	IRIS_313-10980	admix	Bangladesh
DIAMBARANG::IRGC 56726-1	IRIS_313-11525	ind3	Guinea-Bissau
PENGSHANTIEGANZHAN	CX55	ind1A	
ARC 7001::IRGC 20436-1	IRIS_313-10849	aus	India
IRAT 234::C1	IRIS_313-7922	trop	
PADISENEMOK	CX263	indx	
PADI DARAWAL::IRGC 14373-1	IRIS_313-10704	trop	Malaysia
GIOVANNI MARCHETTI::GERVEX 62-C1	IRIS_313-8026	temp	
LAOZAOGU	B246	indx	
LUBANG PUTI::IRGC 5429-1	IRIS_313-10513	indx	
JO SANG DAE YA::IRGC 90852-1	IRIS_313-9698	temp	Democratic People's Republic of Korea
MAGUZI	B102	temp	
EA POUAK::IRGC 89748-1	IRIS_313-12194	ind3	Lao People's Democratic Republic
IR 63295-AC 209-7::IRGC 117365-1	IRIS_313-10361	indx	Philippines
GLAM::IRGC 47978-2	IRIS_313-11388	ind3	Thailand
MAMORIAKA::IRGC 77867-1	IRIS_313-11977	indx	Madagascar
BADUIE::IRGC 53715-1	IRIS_313-9403	ind2	India
SML CAMPONI::IRGC 40642-1	IRIS_313-11253	indx	Surinam
MUAY::IRGC 71318-1	IRIS_313-11839	ind3	Thailand
MENTIK TJERE BELUT::IRGC 18254-1	IRIS_313-8368	indx	Indonesia
EA TIA::IRGC 29713-2	IRIS_313-11083	ind3	Lao People's Democratic Republic
OB CHUEY::IRGC 64568-1	IRIS_313-11684	ind3	Thailand
NABESHI	IRIS_313-8927	subtrop	Taiwan
JHUL DIGA::IRGC 26478-1	IRIS_313-10981	aus	Bangladesh
FOSSA (GBE)::IRGC 56767-1	IRIS_313-11526	trop	Cote d'Ivoire
PULO::IRGC 18519-1	IRIS_313-10805	trop	Indonesia
YUNGUANG 8	CX56	temp	
CICA 8::C1	IRIS_313-7664	ind1B	
PADI PULOT MELAYANG::IRGC 14391-2	IRIS_313-10705	indx	Malaysia
MONOLAYA	CX265	indx	
ALEXANDROS::GERVEX 1678-C1	IRIS_313-8209	trop	
CAMPENA::IRGC 5452-2	IRIS_313-10514	indx	Philippines
JINNANTE B	B247	indx	
TAICHUNG 65::IRGC 79-1	IRIS_313-9701	temp	Taiwan
LEUANG::IRGC 90000-1	IRIS_313-12200	subtrop	Lao People's Democratic Republic
LAOHONGDAO	B103	temp	
IR 65483-111-5-9-2-11::IRGC 117286-1	IRIS_313-10366	indx	Philippines
IR 5657-33-2::IRGC 77992-1	IRIS_313-11978	ind1B	Philippines
LEUANG PRA TAHN::IRGC 48292-2	IRIS_313-11389	ind3	Thailand
PAHK NOK GAEW::IRGC 64572-1	IRIS_313-9415	ind3	Thailand
NIAW NAHK KRAD::IRGC 71352-1	IRIS_313-11840	ind3	Thailand
TIEN SOM::IRGC 40759-2	IRIS_313-11254	ind3	Viet Nam
SAN CHIAO TSWEN::IRGC 1565-1	IRIS_313-8380	ind1A	China
PLAWNG SAENG::IRGC 64595-1	IRIS_313-11685	ind3	Thailand
NEP BUNG::IRGC 32207-1	IRIS_313-11119	indx	Viet Nam
WANICA::IRGC 3394-1	IRIS_313-9519	trop	Surinam
LUDI GOCHYA::IRGC 26504-2	IRIS_313-10982	ind2	Bangladesh
GOLO::IRGC 56856-1	IRIS_313-11527	trop	Cote d'Ivoire
ZHONGCHAO 123	CX57	temp	
ARC 7263::IRGC 20570-2	IRIS_313-10850	admix	India
CIRAD 358::C1	IRIS_313-7859	subtrop	
DINORADO	CX266	trop	
ANAK CHINA::IRGC 14479-1	IRIS_313-10706	ind3	Malaysia
FAISCA::GERVEX 900-C1	IRIS_313-8114	temp	
ZHUZHEN B	B248	ind1A	
TAICHUNG WOO GEN 2::IRGC 5525-1	IRIS_313-10515	ind1A	Taiwan
TAICHUNG 179::IRGC 85-1	IRIS_313-9702	temp	Taiwan
JIABALA	B104	ind1A	
SALA::IRGC 90457-1	IRIS_313-12207	indx	Lao People's Democratic Republic
IR 69502-6-SRN-3-UBN-1-B::IRGC 117290-1	IRIS_313-10374	indx	Philippines
NAH MOI::IRGC 48353-2	IRIS_313-11390	ind3	Thailand
IR 19661-364-1-2-3::IRGC 78061-1	IRIS_313-11979	ind1B	Philippines
ARC 18092::IRGC 42256-1	IRIS_313-9427	indx	India
ARC 7056::IRGC 40914-1	IRIS_313-11255	indx	India
DU GEN CHUAN::IRGC 70083-1	IRIS_313-11796	ind1A	China
ARC 13252::IRGC 22604-1	IRIS_313-8382	admix	India
GURULEY::IRGC 32441-1	IRIS_313-11120	ind2	Bhutan
QUAHNG LUANG::IRGC 64609-2	IRIS_313-11686	ind3	Thailand
KETAN MENAH::IRGC 48733-1	IRIS_313-10152	trop	Indonesia
KAMPING POUY::IRGC 22876-2	IRIS_313-10902	ind3	Cambodia
ZO::IRGC 56914-1	IRIS_313-11528	ind3	Cote d'Ivoire
ARC 7296::IRGC 20585-1	IRIS_313-10851	aro	India
GIZA159	CX58	temp	
IR 72967-12-2-3::C1	IRIS_313-7911	ind1B	
ANAK DIDEK::IRGC 14491-1	IRIS_313-10707	ind3	Malaysia
